module,type,name,res_id,src,value
openacademy,model,"ir.actions.act_window,help",openacademy.course_list_action,"<p class=""oe_view_nocontent_create"">
                    Créer votre premier Cour
                </p>
            ",
openacademy,field,"openacademy.session,active",0,Active,
openacademy,model,"ir.actions.act_window,name",openacademy.launch_session_wizard,Ajouter Participants,
openacademy,view,openacademy.wizard,openacademy.wizard_form_view,Ajouter Participants,
openacademy,view,openacademy.session,openacademy.session_calendar_view,Calendrier des Sessions,
openacademy,view,openacademy.wizard,openacademy.wizard_form_view,Cancel,
openacademy,field,"openacademy.session,color",0,Color,
openacademy,model,"ir.ui.menu,name",openacademy.configuration_menu,Configuration,
openacademy,view,openacademy.session,openacademy.session_form_view,Confirm,
openacademy,selection,"openacademy.session,state",0,Confirmed,
openacademy,model,"ir.actions.act_window,name",openacademy.contact_list_action,Contact Tags,
openacademy,model,"ir.ui.menu,name",openacademy.contact_cat_menu,Contact Tags,
openacademy,model,"ir.ui.menu,name",openacademy.contact_menu,Contacts,
openacademy,model,"ir.actions.act_window,name",openacademy.contact_cat_list_action,Contacts Tags,
openacademy,field,"openacademy.session,cour_id",0,Cour,
openacademy,model,"ir.actions.act_window,name",openacademy.course_list_action,Cours,
openacademy,model,"ir.ui.menu,name",openacademy.courses_menu,Cours,
openacademy,field,"openacademy.course,create_uid",0,Created by,
openacademy,field,"openacademy.session,create_uid",0,Created by,
openacademy,field,"openacademy.wizard,create_uid",0,Created by,
openacademy,field,"openacademy.course,create_date",0,Created on,
openacademy,field,"openacademy.session,create_date",0,Created on,
openacademy,field,"openacademy.wizard,create_date",0,Created on,
openacademy,field,"openacademy.session,date_debut",0,Date Début,
openacademy,field,"openacademy.session,date_fin",0,Date Fin,
openacademy,view,openacademy.session,openacademy.session_kanban_view,Date de Début:,
openacademy,view,openacademy.session,openacademy.session_kanban_view,Delete,
openacademy,view,openacademy.course,openacademy.course_form_view,Description,
openacademy,field,"openacademy.course,description",0,Description,
openacademy,field,"openacademy.course,display_name",0,Display Name,
openacademy,field,"openacademy.session,display_name",0,Display Name,
openacademy,field,"openacademy.wizard,display_name",0,Display Name,
openacademy,selection,"openacademy.session,state",0,Done,
openacademy,selection,"openacademy.session,state",0,Draft,
openacademy,field,"openacademy.session,duree",0,Duree,
openacademy,field,"openacademy.session,heures",0,Durée en Heure,
openacademy,help,"openacademy.session,duree",0,Durée pour un jour,
openacademy,view,openacademy.session,openacademy.session_kanban_view,Durée:,
openacademy,view,openacademy.course,openacademy.course_form_view,Fomulaire de Cours,
openacademy,view,openacademy.session,openacademy.session_gantt_view,Gantt de Session,
openacademy,view,openacademy.session,openacademy.session_form_view,General,
